Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
IPAR,106,7.245986592839602e-05,-384.8515,-86.9548,-1.0574,24.6865,7.4219,5.9186,100.9504,-42.0658,-40.8143,10.2188,106.1574,25.5326,22.7777,63.8522,19.1969,14.7841,2.3026,1.0574,0.2071
MLM,84,7.239264803881467e-05,-317.4612,-120.3237,-1.0477,5.402,7.9304,6.9183,-65.7618,-42.3368,-30.8175,-3.5561,13.2263,15.5335,21.9628,28.7332,42.1818,31.7748,2.3026,1.0477,0.1361
GLP,96,7.231087782262292e-05,-253.1062,-197.6844,-1.0359,31.2174,7.1477,5.0694,279.7653,-80.0003,-49.3058,-10.9229,46.1635,8.4559,12.831,12.1777,2.7883,1.0584,2.3026,1.0359,-0.0417
WLY,21,7.226583490692406e-05,-314.5537,-159.0281,-1.0294,40.4667,8.0194,4.8309,291.2055,-46.6543,-51.6915,-10.4314,85.0228,13.4794,15.1956,74.286,14.7215,6.8134,2.3026,1.0294,-0.0378
PMTS,119,7.225890522758579e-05,999999.0,-152.208,-1.0284,29.8195,10.9359,6.1168,243.0523,-21.9503,-38.8324,8.1103,81.0543,23.7803,999999.0,35.626,13.0653,4.166,2.1972,1.0284,-0.1611
WFRD,97,7.201567348281201e-05,-301.8551,-104.8544,-0.9933,42.019,20.6572,15.2654,276.8849,76.5131,52.6544,7.3612,97.6959,38.4229,46.0795,34.6091,17.0143,10.7237,2.3026,0.9933,0.0254
NGVC,57,7.162761143986811e-05,-548.1104,-134.4736,-0.9373,38.5539,5.1466,3.585,206.4954,-58.2807,-64.1497,8.8567,220.5849,23.557,19.6499,29.3826,3.9223,2.7578,2.3026,0.9373,-0.0535
DPZ,58,7.159365601111051e-05,999999.0,-129.8364,-0.9324,8.9206,4.2427,3.6264,-37.2425,-85.9152,-63.7361,5.069,223.5403,85.0535,999999.0,39.2762,18.68,12.2763,2.3026,0.9324,-0.027
LSTR,144,7.153544670466893e-05,-548.494,-90.6028,-0.924,12.9348,4.8486,3.8146,3.1489,-55.409,-61.8542,-9.119,133.7764,40.1164,20.9227,13.2291,4.9589,4.3099,2.3026,0.924,-0.0327
CHRW,68,7.150980689111727e-05,-700.5043,-104.1789,-0.9203,9.8441,5.0331,3.8412,-23.417,-65.8358,-61.5882,0.7303,44.3058,18.122,26.9076,7.3837,3.7751,2.6142,2.3979,0.9203,-0.0295
COST,41,7.140586170104301e-05,-1805.5401,-102.3983,-0.9053,7.6189,2.2041,1.8269,-38.5688,-81.3538,-81.7306,5.02,174.6667,40.4245,32.9862,12.6133,3.649,3.0623,2.4849,0.9053,0.0192
