Ticker,Industry,Score,BAB_1,UMD_12,UMD_6,UMD_3,STR_1,STR_0,Beta,Performance
GHG,65,0.0,-0.8871,-50.8318,-18.1538,1.1407,-26.4719,-30.9009,0.8871,-0.2239
PCTY,33,0.0,-1.5464,-20.7969,-4.3159,13.5261,-3.5936,-3.4782,1.5464,0.1667
NRIM,131,0.0,-1.2292,70.814,45.5484,19.4142,0.616,2.9441,1.2292,0.142
WASH,73,0.0,-1.3432,23.4539,32.7414,27.5585,5.6772,1.5344,1.3432,0.0068
SRDX,79,0.0,-1.2965,9.4751,23.5734,-5.7775,3.1794,1.1847,1.2965,0.0341
GFR,95,0.0,,-28.8054,39.434,22.9617,-1.8945,0.7905,,-0.0345
BWMX,27,0.0,-1.0729,-16.6964,-21.5912,-16.6427,1.437,-2.8055,1.0729,-0.1519
WMB,92,0.0,-0.869,38.759,28.8763,11.5417,-5.1938,-4.7033,0.869,0.1831
DJT,34,0.0,-1.4696,18.1102,-49.923,-60.277,18.9231,-11.8896,1.4696,1.1518
CRON,0,0.0,-1.4238,14.7208,11.8812,-12.7413,4.4248,-3.8462,1.4238,-0.0463
SLMBP,55,0.0,-0.7245,34.6929,8.6856,1.9907,0.7922,2.4737,0.7245,0.022
SWIM,111,0.0,-2.212,68.4636,92.9012,61.9171,-6.24,-1.9969,2.212,-0.0181
GHM,66,0.0,-1.084,96.9079,34.2893,17.708,7.6633,0.2714,1.084,0.5014
BARK,105,0.0,-1.8445,4.375,33.6,28.4615,5.3892,1.8634,1.8445,0.1962
JYNT,91,0.0,-1.7737,20.0637,14.3579,-24.6502,1.1494,0.4452,1.7737,-0.0671
ZVIA,13,0.0,-1.7683,-61.7424,-32.2148,18.5446,-2.9703,15.4472,1.7683,3.4135
ONEW,8,0.0,-1.7542,-10.0337,-8.4223,-7.0046,7.5323,4.5533,1.7542,-0.2273
VYX,94,0.0,-1.737,-28.3756,17.6112,2.352,-1.6308,-5.8687,1.737,-0.0226
ALNT,47,0.0,-1.6838,-40.4539,-26.6867,-21.5116,14.1714,3.6469,1.6838,0.345
GT,11,0.0,-1.5969,-34.0314,-24.8082,-28.3509,2.9478,-6.7332,1.5969,0.0222
NVRI,42,0.0,-1.584,57.86,44.6731,35.0282,14.8117,2.2094,1.584,-0.1857
EVLV,35,0.0,-1.5571,-43.2277,-0.7557,37.7622,1.0152,6.25,1.5571,0.0179
FTAI,85,0.0,-1.4998,248.0809,122.2251,52.0129,-5.3282,-3.4981,1.4998,0.0749
BHF,72,0.0,-1.4778,-10.2639,-0.5633,3.1229,3.5948,-1.2354,1.4778,0.0845
CECO,112,0.0,-1.4285,107.2298,24.7307,15.6612,6.1831,4.1975,1.4285,0.1561
MERC,109,0.0,-1.4281,-32.4175,-35.7301,-36.2871,-17.2047,-11.557,1.4281,-0.0698
EPR,124,-8.074337343918167e-05,-0.9334,14.5252,18.3227,17.9066,-1.311,2.2116,0.9334,-0.0627
OXLCP,71,-0.00015718865698992262,-0.4759,11.5209,4.3847,2.7075,-1.9055,-0.6574,0.4759,0.0172
MIRM,19,-0.00023689847567535984,-1.145,63.0484,47.2839,79.4007,3.7578,-6.4119,1.145,0.0133
EA,133,-0.0003135354786757475,-0.7824,26.6362,8.1275,14.3991,5.6778,-1.2157,0.7824,0.02
AGRO,52,-0.00039179294043680126,-1.1571,-3.2281,10.9078,11.8902,-3.2697,0.2632,1.1571,-0.1452
RTX,3,-0.00046955973680794976,-0.9575,46.6074,38.9154,15.0172,-0.5675,-2.5972,0.9575,-0.0598
JSM,70,-0.0005467437338375997,-0.8356,12.1543,-1.8456,4.3387,-6.2069,1.9542,0.8356,-0.0861
KGC,114,-0.0006251076643048811,-1.0612,82.9324,80.2093,11.5526,-8.0752,-0.308,1.0612,0.0143
BILL,45,-0.0007040586882251815,-1.6497,-53.1473,-17.3083,4.8223,5.7918,1.4759,1.6497,0.6352
CROX,134,-0.0007823498082427123,-1.6948,46.3749,17.114,-6.0846,3.6738,1.566,1.6948,-0.2185
MHLA,118,-0.0008577247213482911,-0.8909,3.7822,1.5992,5.6028,-4.3367,0.2439,0.8909,-0.0497
MTH,63,-0.0009369482950527403,-1.5462,42.1461,25.2365,12.8212,-2.5234,-0.9329,1.5462,-0.2453
DEA,124,-0.0010132862258154698,-1.0097,7.3784,17.1497,12.9597,-1.9817,1.4001,1.0097,-0.1243
BNT,118,-0.0010916608915615524,-1.3325,45.5615,22.4286,16.3753,-4.4544,-0.9009,1.3325,0.0917
ATMU,10,-0.0011704714727756558,,54.3112,49.8673,16.4339,-3.682,0.0269,,0.0487
HOPE,73,-0.0012469896930735452,-1.2823,36.6945,20.317,22.9196,4.6912,0.652,1.2823,-0.0075
UTHR,19,-0.0013240489714230067,-0.8032,59.4168,56.7566,32.1375,3.0477,1.9582,0.8032,0.022
NL,74,-0.0014031536361275591,-1.4249,44.9974,40.5457,-2.9522,-7.6863,3.1637,1.4249,0.0991
CNCK,55,-0.001478136458962105,-0.4021,3.4517,2.2417,-1.317,-0.286,-0.0,0.4021,-0.192
KMI,92,-0.0015567618250425408,-0.8756,33.9961,27.1601,12.1593,-6.3514,-3.8479,0.8756,0.2397
UHG,63,-0.001634834892603012,-0.8008,-26.1818,-13.8614,9.7297,-2.9557,-12.5673,0.8008,-0.3421
TSM,132,-0.0017143488871733785,-1.4538,87.4213,29.157,14.0371,-2.7658,3.592,1.4538,0.1503
PZZA,127,-0.0017903659593973558,-1.0354,-36.5878,-30.9815,2.9827,-10.5974,-5.5399,1.0354,-0.1658
OCCIO,145,-0.0018663279659559538,-0.4264,9.8727,5.5605,2.6747,-2.4552,-1.4182,0.4264,0.0032
BNL,124,-0.001945643799909393,-0.9882,21.4452,25.9901,21.4502,-2.5068,-0.5831,0.9882,-0.1348
MLI,81,-0.002024177979268719,-1.2769,91.1415,42.404,23.8674,0.3897,-2.3674,1.2769,0.1069
FIS,123,-0.0021015791446736443,-1.0798,49.6154,20.3063,9.1654,-1.6692,-1.3971,1.0798,-0.0363
MSCI,123,-0.0021796959742824053,-1.2999,8.5018,3.3019,17.5823,-1.6845,-4.9789,1.2999,0.0141
PFX,55,-0.0022557293388706795,-0.7158,26.5166,5.7087,3.4071,-1.0911,-0.5319,0.7158,0.0599
MVO,95,-0.002333992862906822,-0.9105,-16.4116,-2.2638,5.7998,-3.7879,-2.6767,0.9105,-0.0896
MOH,78,-0.002412222854983886,-1.0676,12.6756,-9.664,11.1927,5.1431,3.6865,1.0676,-0.1343
BCAL,73,-0.0024889306476756617,-0.6189,1.5593,-1.2525,7.6149,3.7383,1.7711,0.6189,0.1283
HSBC,131,-0.0025669202958049798,-0.9015,30.8785,24.4002,0.7506,-1.327,-0.8507,0.9015,0.0921
FRHC,70,-0.002645123954874632,-1.0911,-10.0726,19.1882,18.6254,-7.7178,-1.1105,1.0911,0.3678
HCA,64,-0.002722922451892593,-1.0855,42.0861,27.3068,16.6615,-2.259,0.311,1.0855,-0.2612
INFY,45,-0.0028008502142970572,-1.0666,37.3367,19.7764,38.9851,4.1237,1.0638,1.0666,0.0251
PROP,55,-0.0028778317565982593,-0.9816,-22.1837,-12.7127,-30.8485,-1.4908,-4.2403,0.9816,-0.2463
APOS,71,-0.002954813046304666,,7.9193,2.3728,1.3786,-4.0546,0.5072,,-0.0103
BDX,79,-0.0030333546772104533,-0.7688,-11.587,3.8443,4.9148,0.6877,-1.9388,0.7688,-0.0509
BEPH,46,-0.0031105764371620035,-0.8007,13.563,0.8582,5.9165,-9.7111,3.8772,0.8007,-0.0726
CGEN,14,-0.0031924097571429844,-2.4476,84.2105,-20.4546,-3.2258,8.0952,-10.9195,2.4476,-0.1451
BBAR,30,-0.003268138429259407,-1.5088,124.5712,91.0319,6.0034,-2.0508,4.2163,1.5088,1.0833
DSGR,67,-0.0033448219097021335,-1.1807,49.839,20.0645,11.5039,-2.015,-0.6628,1.1807,-0.1122
CCBG,73,-0.0034221585371368543,-1.0568,15.1309,24.3379,28.0979,2.1732,3.9794,1.0568,0.0683
MMM,79,-0.003500457108700846,-1.2456,57.457,77.5337,35.2268,-0.5494,0.8565,1.2456,-0.0372
CSQ,53,-0.003577460500451843,-1.0347,23.4412,10.5332,6.8293,-1.8554,-0.1162,1.0347,0.0427
BEAT,79,-0.0036559026721569745,,5.3812,48.7342,-15.4676,-0.8511,-3.9474,,-0.0084
OVID,19,-0.0037345051152597357,-1.7325,-68.0791,-66.7647,-63.0719,-0.0,-0.8929,1.7325,-0.1522
WTI,95,-0.0038107670149890756,-1.1622,-47.0095,-23.1966,3.141,-6.1136,-19.1177,1.1622,-0.2638
SKM,139,-0.0038881564347360183,-0.8584,23.8827,8.0388,13.1953,-2.9022,0.7606,0.8584,-0.0945
KGEI,95,-0.0039653280546206975,-0.7195,-30.3653,-8.1325,-14.0845,-6.5574,-0.0,0.7195,0.6369
ABUS,19,-0.004043732526552627,-0.9027,88.7805,38.7097,15.1786,-0.7752,0.2558,0.9027,-0.1564
AHCO,80,-0.004122246245733531,-1.4287,-6.7854,4.4677,15.9283,1.5469,-6.1825,1.4287,-0.1035
AGEN,14,-0.004202503942530015,-2.4455,-81.4748,-60.9848,-67.1765,5.8252,3.5785,2.4455,-0.3629
PKBK,73,-0.004277212763160339,-1.2446,22.749,23.6506,27.7565,0.0,2.2413,1.2446,-0.0225
GOOD,123,-0.004354933208386547,-1.1105,27.1431,26.0747,8.5162,-5.8874,-1.4502,1.1105,0.0222
OFLX,67,-0.004432630351742886,-1.1862,-42.0619,-31.219,-19.753,-4.5029,1.369,1.1862,-0.1563
ACET,19,-0.004510666161571049,-1.2904,-26.2626,-39.1667,0.6897,-2.0548,-11.194,1.2904,-0.3463
UEC,103,-0.0045894427056364815,-1.6314,18.8636,-24.6398,-26.7507,-30.0191,-5.7543,1.6314,0.1206
AEF,54,-0.0046650030233218245,-0.9879,11.7067,10.0922,7.2848,-9.2128,-5.2631,0.9879,-0.0846
WYNN,65,-0.0047436034456662226,-1.239,-23.5134,-23.5927,-18.7049,-32.7263,-21.2885,1.239,-0.1765
UBS,73,-0.004821085820297843,-1.2309,19.8434,9.0388,-3.5132,-0.7152,-3.2667,1.2309,-0.0226
AR,95,-0.00489830284409698,-1.0238,-4.2568,4.1281,-24.2492,-8.2994,-5.3713,1.0238,0.2169
WTS,81,-0.004976622381028984,-1.1976,5.212,-4.086,-1.0014,-4.6874,-0.0826,1.1976,-0.024
CPBI,131,-0.005053283569981024,,,15.8668,18.656,-6.0862,-3.719,,0.1809
HOOD,70,-0.005132627126213251,-1.6758,81.0981,21.351,-3.7321,-12.4751,-1.0719,1.6758,0.7428
