Ticker,Industry,Score,IV0,GP_EV,PB,NCAV,GPOA,REV_G,IE_G,OMGN,Beta,Performance
CWST,51,0.0,-84.6867,7.5479,-858.1765,-117.2495,35.462,22.0283,-17.8581,9.3488,0.788,0.1498
IDR,114,0.0,-131.0207,2.4917,-332.6222,-99.5218,8.4799,25.5526,-35.5889,,0.5164,0.8275
CNK,90,0.0,-152.7345,44.2225,-1469.1224,-315.533,81.9298,62.868,64.275,3.5237,0.9963,0.2461
BATRK,133,0.0,-129.6889,6.9801,-596.6748,-150.3297,22.0111,3.6199,-1.1858,,0.711,0.1618
VLN,132,0.0,-107.4949,37.9517,-188.374,-47.6611,332.6861,28.3388,8.0989,,,-0.2445
WFCF,33,0.0,-56.1059,14.3933,-617.907,-96.7119,129.0911,13.282,9.2516,10.6742,0.4465,-0.215
TUYA,33,0.0,-83.1123,289.9194,-102.3875,-5.5721,1135.9629,-31.0862,13.6032,,,-0.0794
BKSY,121,0.0,-395.5702,16.4203,-144.1981,-110.7966,23.444,91.7266,32.149,,1.3036,-0.1133
GPRE,74,0.0,-151.9502,5.1719,-173.1813,-106.1754,9.006,29.5589,3.7162,,1.1278,-0.2472
ALRM,33,0.0,-73.0732,21.0192,-399.2124,-91.4089,101.8177,12.4958,0.5124,6.0574,0.9313,0.3972
KO,13,0.0,-59.124,8.989,-963.8443,-116.5136,46.8731,11.2508,-3.8858,28.002,0.6978,0.0006
TS,138,0.0,19.4155,15.8827,-214.5129,-83.5487,35.3261,80.3734,-15.9325,25.8598,0.9687,0.4417
WHD,97,0.0,-8.4508,10.8267,-344.2014,-89.5003,66.2575,56.9508,-19.3959,25.3858,1.0509,0.2122
IHS,139,0.0,-3.6802,13.4833,-213.7594,-227.5122,19.1931,24.1541,21.9853,25.7856,,-0.5868
PRCH,33,0.0,-729.5121,50.8714,-177.4247,-347.7246,62.4672,43.3995,63.4394,,1.3688,1.8042
JCI,66,0.0,-79.2733,14.8976,-227.1502,-129.8745,29.1398,-12.8063,7.2042,9.7495,0.9667,0.1152
MRC,66,0.0,12.1483,39.5648,-109.7246,-97.6631,55.6721,19.9175,-9.292,4.2227,1.0444,0.2798
CLX,135,0.0,-65.1516,14.4251,-4595.7148,-120.4808,114.1287,3.9679,46.7764,11.1382,0.5451,-0.0288
SWX,95,0.0,-127.0962,10.0997,-118.813,-252.6598,10.9498,34.7663,-2.1447,8.6847,0.7546,0.2712
GNSS,37,0.0,-95.3037,30.692,-214.3218,-86.718,87.2553,14.9607,23.5984,,0.8583,-0.1932
DOW,74,0.0,43.0864,19.2505,-156.3143,-151.2795,26.7684,3.5184,-13.3839,10.0207,0.8692,0.1403
ATS,66,0.0,-65.2332,11.4407,-472.2015,-118.0053,34.0384,18.0815,-14.7005,9.6988,0.907,-0.1909
JAKK,125,0.0,354.2127,145.1669,-110.9026,-89.0191,164.3584,28.1865,-153.3688,7.6954,0.8925,0.3249
CNXN,27,0.0,21.9309,50.5391,-151.9311,-45.7036,81.8004,8.0343,-12.2645,3.8585,0.7425,0.434
HLLY,10,0.0,-118.0087,26.8308,-77.1618,-252.8206,24.3807,-0.6397,-36.62,8.5249,,0.6423
AMBP,40,0.0,-157.7166,10.7735,-404.4755,-290.2885,15.0415,15.635,-59.0909,3.7535,,-0.0794
TTMI,47,0.0,-9.9841,24.0312,-89.8069,-118.3861,22.2072,10.9531,-5.5078,6.5208,1.1618,0.1016
UCTT,132,0.0,32.337,27.3058,-159.9607,-92.1739,42.5824,12.9758,-4.9625,8.3309,1.2712,0.377
