Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,IV0,IV1,IV2,Beta,Performance
HRL,76,-0.0011272955718726655,-264.9661,-110.4186,-0.516,9.7136,5.7681,5.1178,-24.8639,-60.0714,-48.8222,9.4203,21.9959,10.4492,13.5604,17.3747,10.3174,8.2069,2.3979,-76.3233,-67.9411,-9.2197,0.516,-0.0883
LAKE,67,-0.0011560634318316752,-87.533,-21.3126,-0.4129,56.746,6.8579,4.1672,272.2964,-34.722,-58.3284,-4.6796,47.8811,4.6293,3.6476,40.6297,4.9102,3.8786,2.1972,-92.9517,-77.7384,266.9398,0.4129,0.2291
VFS,9,-0.001271274386022509,999999.0,-116.8035,,-1.7052,-5.7246,-6.6166,-138.5692,-177.7778,-166.1658,-13.1046,-55.4569,-148.9403,999999.0,,,,2.1972,-168.6788,-198.4035,-117.3275,,-0.5287
FIP,96,-0.001271274386022509,-53.5534,-672.3095,,,-2.3822,-52.1053,,-725.4491,-621.0529,137.2064,,-1.8991,-27.9041,,,,2.1972,-698.6874,-724.0491,-436.4457,,1.2025
PIII,80,-0.001271274386022509,-8.4326,-668.5424,,,-38.5662,-2831.0747,,-5911.5927,-28410.747,113.7139,,-32.8198,-238.7323,,,,2.3026,-1075.9704,-1673.3263,1705.4305,,-0.2528
CRGY,95,-0.001271274386022509,-14.8344,-544.4846,,62.522,35.4904,84.4961,3424.4236,1573.8817,744.9614,106.9812,57.589,26.1521,12.5345,85.6479,48.6177,13.5265,2.3026,-115.6031,173.1175,2447.3761,,0.0454
QVCGP,27,-0.001271274386022509,-28.5683,-5141.225,,69.0697,8.0135,-1231.0697,16115.796,-1278.1305,-12410.6968,-13.7995,65.8397,6.111,-351.6952,30.4725,3.5354,,2.3979,-483.7521,-473.8297,3041.405,,1.0658
MMT,145,-0.0012927001287223923,-77.1459,-148.5502,-0.6226,,,-21.2097,,,-312.097,,,,-16.3624,,,,0.0,105.4336,492.6043,3002.1907,0.6226,0.1065
EICA,54,-0.0014664234033148198,-158.5179,-128.8551,,,,-7.8941,,,-178.9412,,,,-12.5136,,,,0.0,-11.9361,167.3062,1417.8872,,0.0574
ALGM,132,-0.0014734626275939953,-951.8149,-94.841,,6.1517,2.2903,1.8373,-48.9907,-78.7896,-81.6267,26.6666,85.293,25.4039,17.488,56.0856,20.8808,17.3652,2.1972,-103.3913,-103.2253,-100.9559,,-0.4649
PGR,118,-0.003224972117689909,-511.6403,-173.2725,-0.7443,,,0.9072,,,-90.928,4.0072,999999.0,999999.0,4.6416,,,1.4875,2.3979,21.5993,197.1651,1545.5597,0.7443,0.4787
AMPX,66,-0.003260746655326919,-1009.07,-90.8503,,-0.8814,-2.7038,-1.8815,-96.9268,-110.1271,-118.8147,50.8658,-176.2361,-432.5082,-18.9854,,,,1.9459,-112.4823,-128.1027,-89.4858,,-0.7268
OZ,124,-0.003289852812539705,-99.3529,-63.0487,,-1.2713,-4.9984,-1.967,-63.403,-80.5625,-119.6696,39.5186,-1.2781,-4.0202,-1.9542,,,,1.9459,-163.5188,-177.0802,-144.0112,,-0.3454
WRBY,100,-0.003582075944525853,-426.1136,-97.6907,,33.6734,-10.9792,-7.1978,140.461,-155.7572,-171.9781,10.598,436.9173,-113.9652,-30.6709,57.0231,,,2.1972,-92.73,-98.4957,52.6669,,0.2455
VSTM,19,-0.0036286063957267013,-177.7283,-40.4516,-1.1838,12.2834,-345.1134,-70.1075,-0.4348,-717.8561,-801.0751,79.4057,999999.0,999999.0,-124.6009,100.0,,,1.9459,-344.4056,-554.9291,-43.5462,1.1838,1.2857
AREN,45,-0.003748813616328069,999999.0,-327.4807,-0.8436,49.3068,-31.1633,-70.397,675.6744,-801.5401,-803.9697,16.8103,181.2289,-91.6333,999999.0,39.8362,,,2.1972,-129.2754,-119.6496,-67.6464,0.8436,-0.7976
THCH,127,-0.003756425836209642,-3926.6235,-139.7473,,0.7364,-12.5906,-13.7558,-97.525,-208.0113,-237.5585,51.9859,12.4224,-169.9174,-540.1403,3.5233,,,2.1972,-154.7589,-175.5529,-68.7489,,-0.742
SXT,74,-0.00376448315336027,-303.4716,-99.9867,-0.8699,13.3517,5.3709,4.8051,8.2284,-68.8734,-51.9488,4.1133,30.0182,9.6602,14.5822,34.036,13.6914,10.1433,2.3026,-75.0388,-47.3549,149.5265,0.8699,-0.0954
DOUG,123,-0.004094914494064416,-93.0055,-116.3815,,354.6078,-5.0898,0.0331,970.7299,-49.9109,-99.6692,-14.5781,296.7917,-3.4079,0.0308,27.8521,,0.0073,2.3026,-127.487,-113.477,15.8447,,-0.524
PFIS,73,-0.004485834109936367,-88.115,-1265.35,-0.7246,,,13.061,,,30.6104,9.9097,,,11.5087,,,33.5821,2.1972,-83.7101,-62.9835,201.3242,0.7246,-0.0625
FFIN,73,-0.004604686223628013,-337.7038,-373.9148,-0.8438,,,5.2568,,,-47.4319,4.0526,,,17.7524,,,43.2258,2.1972,-53.119,-37.1744,34.5625,0.8438,0.0023
BANC,73,-0.005777846446546655,-17.4224,-5516.1789,-0.8611,,,65.9696,,,559.6956,4.7081,,,11.4935,,,33.859,2.3026,-57.7765,-58.7265,-1.7742,0.8611,0.183
AMX,139,-0.005874468996125848,-5247.4652,-103.5645,-0.7342,2.1939,0.7294,0.4675,-84.0728,-96.0197,-95.3247,1.663,62.202,16.5434,24.5337,60.8606,20.2333,12.7194,2.3979,-96.7573,-95.481,-88.0948,0.7342,-0.0888
AGO,118,-0.006533753729930459,-54.0181,-504.0738,-0.9336,999999.0,999999.0,4.1418,,,-58.5816,-2.0057,999999.0,999999.0,2.2373,,,17.3099,2.1972,62.5384,199.2038,1058.3988,0.9336,0.721
DOMO,33,-0.006555366766737779,999999.0,-142.9375,-1.6801,43.6119,-16.3388,-16.8908,271.9586,-252.0888,-268.9082,19.6479,999999.0,999999.0,999999.0,76.323,,,2.1972,-170.4676,-202.1486,333.6205,1.6801,-0.3643
CRSP,14,-0.007395968695281966,-189.3446,-57.1077,-1.1569,-6.3264,-38.781,-14.6545,-73.6194,-200.5309,-246.5454,-99.9522,-182.5335,-895.146,-27.7476,,,,1.7918,-86.6804,-88.1243,-50.7319,1.1569,0.4378
CCEC,75,-0.007553073343945292,-38.9278,-575.9606,-0.7963,6.9793,6.2126,27.7889,-247.5436,-281.9256,177.8889,1.4009,5.453,3.8831,10.8176,51.9193,46.2153,36.8821,2.1972,-171.4932,239.4417,3076.0612,0.7963,0.3294
AZTA,66,-0.008650867325804308,-99.5248,-33.1054,-1.3057,14.3799,-1.3178,-0.2375,7.9855,-58.6947,-102.3746,8.136,14.2518,-1.0449,-0.2363,46.0099,,,2.1972,-94.3512,-106.6144,-6.1461,1.3057,0.3182
TAL,102,-0.009426121644528792,-35.6184,89.1022,-0.7741,999999.0,999999.0,-6.4496,477.7279,81.4488,-164.4956,-76.7754,89.8418,-11.1774,-2.2972,57.2102,,,2.3026,177.3585,179.6088,212.2581,0.7741,0.819
XOMAP,19,-0.010032424078108382,-179.4525,-79.5054,,,-10.5903,-6.1539,,-136.4868,-161.5387,-84.206,,-21.155,-11.0433,,,,1.9459,-117.7114,-117.712,-104.7954,,0.1202
QURE,19,-0.01046420111274553,-198.7223,-73.5042,-1.0865,14.8214,-20.7285,-10.8472,13.6622,-195.5578,-208.4716,-79.6789,45.6459,-51.0702,-21.5557,96.8605,,,2.1972,-128.9315,-124.5306,-66.0162,1.0865,-0.7527
NXC,71,-0.01260179011994672,-88.542,-100.4757,-0.5455,,,-6.2065,,,-162.0651,,,,-5.4954,,,,0.0,-85.1611,-85.5978,-69.6295,0.5455,0.0322
OII,99,-0.012627543085079983,-336.1662,-111.8139,-1.2173,16.2193,5.8499,3.5779,31.9019,-57.0399,-64.2213,10.5286,47.4866,13.7018,12.0276,14.8773,5.3659,3.0609,2.3026,19.4569,174.3308,1661.4206,1.2173,0.4061
OXLCP,71,-0.012677594570311377,-84.086,-181.4022,-0.5085,,,-20.5466,,,-305.4655,,,,-17.2768,,,,0.0,-85.7182,-86.1143,-70.9224,0.5085,0.0933
GERN,19,-0.012790442267162696,-1058.6136,-91.302,-0.8666,0.0822,-19.1029,-13.4048,-85.0795,-216.5245,-234.0475,-57.2146,999999.0,999999.0,-141.9045,100.0,,,1.7918,-146.8456,-200.1146,-23.8978,0.8666,0.4286
EHTH,137,-0.012979366281295283,-39.6311,-123.3929,-1.2187,224.6468,-46.2399,-32.9914,1182.2467,-327.3445,-429.9135,-26.7426,70.4943,-11.6081,-13.0748,111.7546,,,2.1972,-35.6624,-35.4353,59.1956,1.2187,-0.4038
TREE,55,-0.013715128432208783,-164.2591,-261.3638,-1.5227,107.9759,-3.3016,-12.8664,1920.32,-317.82,-228.6636,-10.3177,127.8732,-3.128,-21.1342,94.1759,,,2.1972,-133.8835,-133.1541,-10.9312,1.5227,0.488
CCOI,139,-0.013716294179279822,999999.0,-143.0003,-0.7294,11.1944,3.5021,0.8123,-13.3422,-91.9477,-91.8772,1.6628,184.0246,46.0572,999999.0,61.9492,19.3806,3.5191,2.1972,-181.0516,-206.4189,-60.7125,0.7294,0.0464
XIFR,46,-0.015073217137607843,-29.0339,-244.8163,-0.8725,2.1252,0.0385,21.0777,-402.4797,-483.4332,110.7775,34.2105,2.2285,0.0323,6.1197,45.614,0.8256,93.2921,2.1972,-397.8394,-373.216,-129.2659,0.8725,-0.4734
KW,123,-0.01647471440999506,-96.7004,-386.3895,-0.9973,4.6477,0.1707,5.6829,-249.7995,-392.2226,-43.1706,19.2248,5.0195,0.1475,5.4954,66.7472,2.4522,20.5239,2.1972,-352.9692,-331.0094,-127.6127,0.9973,-0.455
GSBD,71,-0.01729379920816562,-65.5589,-312.083,-0.8085,,,4.8486,,,-51.5144,-66.7004,,,3.1787,,,84.315,2.0794,-68.0859,-68.9049,-35.9056,0.8085,0.24
QMCO,48,-0.017770480523175567,999999.0,-229.5956,-1.243,84.3965,-8.8818,-12.213,907.3134,-269.8326,-222.1298,10.0787,999999.0,999999.0,999999.0,33.9426,,,2.1972,-257.0643,-235.2102,-46.0821,1.243,-0.5304
CDLX,34,-0.018471179352585118,-53.7109,-294.9857,-2.0125,51.7142,-62.2313,-328.51,601.1694,-1145.661,-3385.0998,11.7649,35.6716,-34.3409,-176.4457,37.7274,,,2.1972,-338.4733,-351.0549,-136.7976,2.0125,3.0206
GNK,75,-0.01958284996675406,-58.5985,-113.9128,-0.9417,29.072,24.7734,22.4688,157.7291,116.8166,124.6879,-1.8634,18.2549,12.4446,13.1664,36.5512,31.1468,23.7443,2.1972,-39.8929,-41.3845,46.2583,0.9417,0.3502
OGS,98,-0.02315060910454028,-154.359,-191.966,-0.7775,8.9638,4.851,5.3798,-51.1584,-110.6569,-46.2024,42.9594,11.1315,4.8193,8.3041,25.3009,13.6924,8.397,2.3026,-109.7538,-72.8733,165.1702,0.7775,-0.1616
UPLD,33,-0.02505650311389009,-32.8981,-361.8265,-1.2905,41.294,-1.1934,-40.5064,859.8244,-408.9027,-505.0638,5.0617,31.064,-0.7182,-13.3258,67.3054,,,2.1972,-440.5991,-433.0035,-350.3679,1.2905,-0.3349
FRGE,70,-0.027425446620439334,-92.7858,-43.4413,,-62.6491,-106.2445,-29.5589,-243.4594,-384.6945,-395.5889,-45.8182,-54.8434,-74.4056,-27.4265,,,,2.0794,-147.3651,-148.5792,-65.8966,,-0.04
BBU,50,-0.02822509508199297,-7.3274,-3912.9044,-1.1876,6.9563,4.7433,-4.6802,-2018.375,-2824.085,-146.8023,21.9419,6.9498,3.7911,-0.3429,7.8,5.3186,,2.3979,-2118.7944,-2130.1915,123.3116,1.1876,0.1792
TORO,75,-0.028303055703453178,-18.1144,52.0478,,999999.0,999999.0,21.7522,296.4916,230.6893,117.5223,-46.564,8.0731,4.9604,3.9403,57.7112,44.3247,35.4015,2.0794,-303.7468,-299.1438,-257.4427,,0.8996
